StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q46,Q2,Q3,Q3_7_TEXT,Q47,Q47_11_TEXT,Q32,Q32_10_TEXT,Q12,Q5,Q5_6_TEXT,Q8,Q7,Q16,Q39,Q38,Q19,Q31,Q25,Q29,Q21,Q40,Q36,Q36_8_TEXT,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,QID15_1,QID15_2,QID15_3,QID15_4,QID15_5,QID15_6,QID15_7,QID15_8,QID15_9,QID15_10,QID15_11,QID15_12
18/11/2024 23:54,19/11/2024 00:14,IP Address,119.18.2.94,100,1193,TRUE,19/11/2024 00:14,R_4neGV0nnCu4cGaJ,,,,,-33.8715,151.2006,anonymous,EN,I consent,36,Male,"University - research,University - teaching",,Ecology,,Researcher,,"Many. Several hundred if including students, perhaps ca. 100-150 if employees (researchers) only.  ",Postgraduate research degree,,,Evolutionary ecology,Yes - other staff,,,,It is a moderately important assessment,"Self-motivation, time management, experimental design and data handling/analysis basics, writing, fundamentals of ecology and evolution",Probably yes,Greater need,"Likely increase, as the need for biodiversity monitoring, taxonomic research, conservation planning and the like continue to increase in urgency.",vegetarian,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree
19/11/2024 01:43,19/11/2024 01:48,IP Address,103.137.14.244,100,280,TRUE,19/11/2024 01:48,R_4SJLWI7knf6Hcmm,,,,,-37.8159,144.9669,anonymous,EN,I consent,45,Male,"University - teaching,Private/sole trader",,Ecology,,"Science communicator,Educator,Other",science tour guide,,Postgraduate research degree,,,geography,No insects are euthanised in my role,,,,It is a moderately important assessment,"entrepreneurship, general outdoor skills, storytelling",Definitely yes,Unsure,,I consume animal products,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree
19/11/2024 01:53,19/11/2024 02:02,IP Address,1.145.153.10,100,557,TRUE,19/11/2024 02:02,R_4nxcncCnYsNGVNW,,,,,-37.857,145.0345,qr,EN,I consent,51,Male,Government,,Other,Entomology/systematics,Other,Curator,2,Postgraduate research degree,,,Evolutionary biology,Yes - me,"I don’t like killing anything, but that feeling is overridden by the excitement of discovery and the knowledge I am contributing to our knowledge of biodiversity.",,,It is a very important assessment,"Identification skills, data collection and management",Definitely not,Same,"Insect collections will always be relevant for teaching, taxonomy, assessing environmental change, etc. I can’t think of any university in Australia that still teaches a full entomology course, let alone a collections-based one. I find this extremely troubling.",Other,Only eat poultry and kangaroo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
20/11/2024 15:55,20/11/2024 16:04,IP Address,1.147.112.89,100,536,TRUE,20/11/2024 16:04,R_4vB0wJ1dd98ogkp,,,,,-34.9172,138.5445,anonymous,EN,I consent,50,Female,Government,,Biosecurity,,"Policy officer,Other",Diagnostician,50+,Postgraduate research degree,,,Zoology entomology,Yes - me,I only collected insects for my PhD,,,It is a very important assessment,Basic identification to order level and some to family level. Basic curatorial skills.,Probably not,Same,,I have reduced (but not stopped) consumption of animal products,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree
20/11/2024 16:18,20/11/2024 16:30,IP Address,49.182.208.54,100,707,TRUE,20/11/2024 16:30,R_4AlrcdvxjDoAdLX,,,,,-27.4679,153.0325,anonymous,EN,I consent,43,Male,Government,,Biosecurity,,Other,Entomologist,"Unsure, lots. ",Bachelors degree,,,Zoology,Yes - me,"Mostly just interested, occasionally guilty depending on the order. ",,,It is a very important assessment,"Critical thinking, ability to use identification resources, interpersonal, curation skills. ",Probably not,Greater need,Online and digital resources at great but are almost always limited in some way compared with examining a well curated specimen. ,I consume animal products,,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
20/11/2024 16:11,20/11/2024 16:33,IP Address,49.182.178.177,100,1285,TRUE,20/11/2024 16:33,R_4D0flr2f4zmhFLg,,,,,-27.4679,153.0325,anonymous,EN,I consent,23,Female,Government,,Biosecurity,,Other,Entomologist,Unsure,Bachelors degree,,,Zoology,Yes - me,,,,It is a moderately important assessment,"Willingness and want to learn, problem solving, attention to detail, communication",Might or might not,Same,,I consume animal products,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
24/11/2024 17:30,24/11/2024 17:44,IP Address,131.217.255.210,100,867,TRUE,24/11/2024 17:44,R_4CjGyrGhAfXiRnP,,,,,-42.885,147.3343,anonymous,EN,I consent,41,Male,"University - research,University - teaching",,"Ecology,Pest control,Agriculture",,"Researcher,Educator",,unsure,High school graduate,,,Ecology,Yes - me,"It encouraged my curiosity, but very aware that I was killing living organisms.",,,It is a very important assessment,attention to detail. The ability to complete complex projects. Self motivation that results in a completed project.,Might or might not,Unsure,,I have reduced (but not stopped) consumption of animal products,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
24/11/2024 18:20,24/11/2024 19:43,IP Address,130.41.3.47,100,4967,TRUE,24/11/2024 19:43,R_4nPy6kL5hmC938b,,,,,-27.5057,153.0431,anonymous,EN,I consent,40,Female,Government,,Biosecurity,,"Researcher,Other",Diagnostician,Unsure,Bachelors degree,,,"Ecology, entomology",Yes - me,"Fun and honoured to be involved in maintaining a collection, and that the insect's life wasn't taken in vain",,,It is a very important assessment,"Flexibility and adaptability, taxonomy and phylogenetics",Might or might not,Greater need,"A lot of funding and emphasis has been removed from the insect collections in favour of 'quick and easy' molecular results, however pure taxonomy will remain an imperative part of biology and entomology.",I consume animal products,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
19/11/2024 14:38,19/11/2024 15:03,IP Address,119.17.137.138,96,1513,FALSE,26/11/2024 15:03,R_47BzoOTrSRaqCsY,,,,,,,qr,EN,I consent,56,Male,"University - research,University - teaching",,"Ecology,Other",Entomology,Other,Adjunct Associate Professor,02-Mar,Postgraduate research degree,,,Agriculture and forestry ,Yes - me,Necessary,,,It is a moderately important assessment,Basic entomology,Definitely yes,Unsure,Only capable and focussed undergrads benefit from the process of making a collection. Many second year La Trobe students do not know how to use a stereo microscope and are hesitant to use them when provided in pracs. Consequently there is little point trying to teach them about the morphology of different orders. I offer such students a photographic competition to limit the killing of insects for collections of little teaching benefit.,I consume animal products,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
20/11/2024 16:16,20/11/2024 16:27,IP Address,211.30.173.216,96,674,FALSE,27/11/2024 16:27,R_4q96DrVHIxV9lLZ,,,,,,,anonymous,EN,I consent,33,Male,Government,,"Biosecurity,Molecular biology,Other",Entomology,Other,Entomologist/diagnostician,&gt;100,Postgraduate research degree,,,Zoology/Ecology,Yes - me,positive,,,It is a very important assessment,Attention to detail. Observational skills. Critical thinking/reasoning,Might or might not,Same,Physical reference collections are fundamental to my most entomology related jobs that involve identification or taxonomy,vegetarian,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
